date,time,age,confirmed,deceased
02/03/2020,0,0s,32,0
02/03/2020,0,10s,169,0
02/03/2020,0,20s,1235,0
02/03/2020,0,30s,506,1
02/03/2020,0,40s,633,1
02/03/2020,0,50s,834,5
02/03/2020,0,60s,530,6
02/03/2020,0,70s,192,6
02/03/2020,0,80s,81,3
03/03/2020,0,0s,34,0
03/03/2020,0,10s,204,0
03/03/2020,0,20s,1417,0
03/03/2020,0,30s,578,1
03/03/2020,0,40s,713,1
03/03/2020,0,50s,952,5
03/03/2020,0,60s,597,7
03/03/2020,0,70s,224,9
03/03/2020,0,80s,93,5
04/03/2020,0,0s,34,0
04/03/2020,0,10s,233,0
04/03/2020,0,20s,1575,0
04/03/2020,0,30s,631,1
04/03/2020,0,40s,790,1
04/03/2020,0,50s,1051,5
04/03/2020,0,60s,646,7
04/03/2020,0,70s,260,12
04/03/2020,0,80s,108,6
05/03/2020,0,0s,38,0
05/03/2020,0,10s,257,0
05/03/2020,0,20s,1727,0
05/03/2020,0,30s,659,1
05/03/2020,0,40s,847,1
05/03/2020,0,50s,1127,5
05/03/2020,0,60s,699,8
05/03/2020,0,70s,288,13
05/03/2020,0,80s,124,7
06/03/2020,0,0s,45,0
06/03/2020,0,10s,292,0
06/03/2020,0,20s,1877,0
06/03/2020,0,30s,693,1
06/03/2020,0,40s,889,1
06/03/2020,0,50s,1217,5
06/03/2020,0,60s,763,11
06/03/2020,0,70s,340,14
06/03/2020,0,80s,168,10
07/03/2020,0,0s,52,0
07/03/2020,0,10s,327,0
07/03/2020,0,20s,2038,0
07/03/2020,0,30s,727,1
07/03/2020,0,40s,941,1
07/03/2020,0,50s,1287,5
07/03/2020,0,60s,830,11
07/03/2020,0,70s,384,14
07/03/2020,0,80s,191,12
08/03/2020,0,0s,58,0
08/03/2020,0,10s,360,0
08/03/2020,0,20s,2133,0
08/03/2020,0,30s,760,1
08/03/2020,0,40s,975,1
08/03/2020,0,50s,1349,5
08/03/2020,0,60s,878,11
08/03/2020,0,70s,409,18
