date,time,sex,confirmed,deceased
02/03/2020,0,male,1591,13
02/03/2020,0,female,2621,9
03/03/2020,0,male,1810,16
03/03/2020,0,female,3002,12
04/03/2020,0,male,1996,20
04/03/2020,0,female,3332,12
05/03/2020,0,male,2149,21
05/03/2020,0,female,3617,14
06/03/2020,0,male,2345,25
06/03/2020,0,female,3939,17
07/03/2020,0,male,2522,26
07/03/2020,0,female,4245,18
08/03/2020,0,male,2694,29
08/03/2020,0,female,4440,20
09/03/2020,0,male,2799,31
09/03/2020,0,female,4583,20
10/03/2020,0,male,2852,33
10/03/2020,0,female,4661,21
11/03/2020,0,male,2947,35
11/03/2020,0,female,4808,25
12/03/2020,0,male,2994,38
12/03/2020,0,female,4875,28
13/03/2020,0,male,3043,39
13/03/2020,0,female,4936,28
14/03/2020,0,male,3100,41
14/03/2020,0,female,4986,31
15/03/2020,0,male,3136,41
15/03/2020,0,female,5026,34
16/03/2020,0,male,3169,41
16/03/2020,0,female,5067,34
17/03/2020,0,male,3200,44
17/03/2020,0,female,5120,37
18/03/2020,0,male,3240,45
18/03/2020,0,female,5173,39
19/03/2020,0,male,3296,49
19/03/2020,0,female,5269,42
20/03/2020,0,male,3330,51
20/03/2020,0,female,5322,43
21/03/2020,0,male,3387,54
21/03/2020,0,female,5412,48
22/03/2020,0,male,3430,55
22/03/2020,0,female,5467,49
23/03/2020,0,male,3457,58
23/03/2020,0,female,5504,53
24/03/2020,0,male,3497,60
24/03/2020,0,female,5540,60
25/03/2020,0,male,3550,64
25/03/2020,0,female,5587,62
26/03/2020,0,male,3598,68
26/03/2020,0,female,5643,63
27/03/2020,0,male,3638,75
27/03/2020,0,female,5694,64
28/03/2020,0,male,3736,77
28/03/2020,0,female,5742,67
29/03/2020,0,male,3799,78
29/03/2020,0,female,5784,74
30/03/2020,0,male,3834,80
30/03/2020,0,female,5827,78
31/03/2020,0,male,3905,82
31/03/2020,0,female,5881,80
01/04/2020,0,male,3946,84
01/04/2020,0,female,5941,81
02/04/2020,0,male,3979,87
02/04/2020,0,female,5997,82
03/04/2020,0,male,4013,92
03/04/2020,0,female,6049,82
04/04/2020,0,male,4052,94
04/04/2020,0,female,6104,83
05/04/2020,0,male,4098,97
05/04/2020,0,female,6139,86
06/04/2020,0,male,4118,98
06/04/2020,0,female,6166,88
07/04/2020,0,male,4138,101
07/04/2020,0,female,6193,91
08/04/2020,0,male,4163,106
08/04/2020,0,female,6221,94
09/04/2020,0,male,4185,107
09/04/2020,0,female,6238,97
10/04/2020,0,male,4200,109
10/04/2020,0,female,6250,99
11/04/2020,0,male,4215,111
11/04/2020,0,female,6265,100
12/04/2020,0,male,4229,113
12/04/2020,0,female,6283,101
13/04/2020,0,male,4243,115
13/04/2020,0,female,6294,102
14/04/2020,0,male,4256,116
14/04/2020,0,female,6308,106
15/04/2020,0,male,4266,118
15/04/2020,0,female,6325,107
16/04/2020,0,male,4272,122
16/04/2020,0,female,6341,107
17/04/2020,0,male,4286,122
17/04/2020,0,female,6349,108
18/04/2020,0,male,4293,124
18/04/2020,0,female,6360,108
19/04/2020,0,male,4297,124
19/04/2020,0,female,6364,110
20/04/2020,0,male,4302,125
20/04/2020,0,female,6372,111
21/04/2020,0,male,4308,125
21/04/2020,0,female,6375,112
22/04/2020,0,male,4314,126
22/04/2020,0,female,6380,112
23/04/2020,0,male,4318,127
23/04/2020,0,female,6384,113
24/04/2020,0,male,4323,127
24/04/2020,0,female,6385,113
25/04/2020,0,male,4327,127
25/04/2020,0,female,6391,113
26/04/2020,0,male,4333,127
26/04/2020,0,female,6395,115
27/04/2020,0,male,4337,127
27/04/2020,0,female,6401,116
28/04/2020,0,male,4344,128
28/04/2020,0,female,6408,116
29/04/2020,0,male,4348,129
29/04/2020,0,female,6413,117
30/04/2020,0,male,4352,130
30/04/2020,0,female,6413,117
01/05/2020,0,male,4356,130
01/05/2020,0,female,6418,118
02/05/2020,0,male,4362,130
02/05/2020,0,female,6418,120
03/05/2020,0,male,4369,130
03/05/2020,0,female,6424,120
04/05/2020,0,male,4375,131
04/05/2020,0,female,6426,121
05/05/2020,0,male,4377,131
05/05/2020,0,female,6427,123
06/05/2020,0,male,4379,132
06/05/2020,0,female,6427,123
07/05/2020,0,male,4382,133
07/05/2020,0,female,6428,123
08/05/2020,0,male,4389,133
08/05/2020,0,female,6433,123
09/05/2020,0,male,4406,133
09/05/2020,0,female,6434,123
10/05/2020,0,male,4430,133
10/05/2020,0,female,6444,123
11/05/2020,0,male,4461,133
11/05/2020,0,female,6448,123
12/05/2020,0,male,4481,133
12/05/2020,0,female,6455,125
13/05/2020,0,male,4499,134
13/05/2020,0,female,6463,125
14/05/2020,0,male,4516,135
14/05/2020,0,female,6475,125
